MI(inft1   , inft2   ): 1.6333484094945412
MI(inft1   , inft3   ): 1.6072706102024465
MI(inft1   , inft4   ): 1.3019495417696199
MI(inft2   , inft3   ): 3.5912619629917053
MI(inft2   , inft4   ): 3.1676034405134565
MI(inft3   , inft4   ): 2.5065522189541625
MI(virs1   , virs2   ): 1.7563147669265469
MI(virs1   , virs3   ): 1.6463685151003684
MI(virs1   , virs4   ): 1.2459565317483037
MI(virs2   , virs3   ): 2.5901161604150555
MI(virs2   , virs4   ): 2.2515337507100064
MI(virs3   , virs4   ): 1.971451046204118
MI(inft1   , virs1   ): 1.974964580125988
MI(inft2   , virs2   ): 3.8784667769274854
MI(inft3   , virs3   ): 2.7035597378709753
MI(inft4   , virs4   ): 2.096145680758715

